日期,新增用户,活跃用户,启动次数,新用户占比,次日留存率,平均单次使用时长,平均日使用时长,平均日启动次数
2020-06-03,15,3192,10279,0.47%,20.0%,00:00:31,00:01:26,3.22
2020-06-02,14,3646,12593,0.38%,14.29%,00:00:31,00:01:32,3.45
2020-06-01,19,2958,9575,0.64%,57.89%,00:00:34,00:01:34,3.24
2020-05-31,6,1816,4655,0.33%,50.0%,00:00:33,00:01:15,2.56
2020-05-30,14,1672,4625,0.84%,28.57%,00:00:36,00:01:29,2.77
2020-05-29,12,2063,5644,0.58%,8.33%,00:00:32,00:01:18,2.74
2020-05-28,5,2495,7213,0.2%,40.0%,00:00:30,00:01:16,2.89
2020-05-27,4,2740,8216,0.15%,25.0%,00:00:30,00:01:17,3.0
2020-05-26,8,2919,9385,0.27%,12.5%,00:00:30,00:01:24,3.22
2020-05-25,11,2711,8237,0.41%,27.27%,00:00:34,00:01:28,3.04
2020-05-24,14,1817,4920,0.77%,21.43%,00:00:34,00:01:20,2.71
2020-05-23,5,1566,4040,0.32%,20.0%,00:00:29,00:01:08,2.58
2020-05-22,14,2041,5679,0.69%,7.14%,00:00:30,00:01:15,2.78
2020-05-21,10,2519,7503,0.4%,10.0%,00:00:29,00:01:16,2.98
2020-05-20,12,2820,8564,0.43%,33.33%,00:00:29,00:01:17,3.04
2020-05-19,10,3132,10039,0.32%,50.0%,00:00:29,00:01:19,3.21
2020-05-18,11,2896,8825,0.38%,27.27%,00:00:30,00:01:20,3.05
2020-05-17,17,2076,5429,0.82%,29.41%,00:00:30,00:01:08,2.62
2020-05-16,8,1736,4672,0.46%,37.5%,00:00:31,00:01:16,2.69
2020-05-15,16,2223,5890,0.72%,6.25%,00:00:28,00:01:05,2.65
2020-05-14,10,2903,9082,0.34%,30.0%,00:00:27,00:01:13,3.13
2020-05-13,11,3297,10685,0.33%,72.73%,00:00:31,00:01:26,3.24
2020-05-12,18,3304,10682,0.54%,44.44%,00:00:29,00:01:20,3.23
2020-05-11,9,3267,10998,0.28%,22.22%,00:00:27,00:01:19,3.37
2020-05-10,18,2422,6746,0.74%,16.67%,00:00:30,00:01:13,2.79
2020-05-09,15,3404,11298,0.44%,33.33%,00:00:26,00:01:14,3.32
2020-05-08,18,3504,11109,0.51%,33.33%,00:00:29,00:01:19,3.17
2020-05-07,19,3569,12686,0.53%,36.84%,00:00:27,00:01:24,3.55
2020-05-06,18,3877,14537,0.46%,61.11%,00:00:26,00:01:24,3.75
2020-05-05,16,3283,9825,0.49%,12.5%,00:00:27,00:01:12,2.99
2020-05-04,15,2412,6286,0.62%,26.67%,00:00:28,00:01:05,2.61
2020-05-03,11,2008,5104,0.55%,18.18%,00:00:26,00:00:58,2.54
2020-05-02,10,1865,5081,0.54%,10.0%,00:00:26,00:01:04,2.72
2020-05-01,8,2117,5912,0.38%,37.5%,00:00:31,00:01:16,2.79
2020-04-30,9,3372,11011,0.27%,44.44%,00:00:26,00:01:13,3.27
2020-04-29,14,3593,12269,0.39%,35.71%,00:00:27,00:01:18,3.41
2020-04-28,20,3648,12676,0.55%,30.0%,00:00:29,00:01:25,3.47
2020-04-27,20,3819,13754,0.52%,20.0%,00:00:31,00:01:34,3.6
2020-04-26,17,3936,13957,0.43%,17.65%,00:00:32,00:01:35,3.55
2020-04-25,10,3039,9162,0.33%,40.0%,00:00:30,00:01:20,3.01
2020-04-24,20,3047,9019,0.66%,35.0%,00:00:33,00:01:24,2.96
2020-04-23,9,3682,12262,0.24%,22.22%,00:00:29,00:01:23,3.33
2020-04-22,13,4345,16824,0.3%,23.08%,00:00:31,00:01:41,3.87
2020-04-21,23,4694,19689,0.49%,43.48%,00:00:33,00:01:59,4.19
2020-04-20,28,4399,16266,0.64%,42.86%,00:00:34,00:01:48,3.7
2020-04-19,15,2646,7267,0.57%,40.0%,00:00:36,00:01:26,2.75
2020-04-18,13,1794,4676,0.72%,23.08%,00:00:40,00:01:31,2.61
2020-04-17,19,2252,6262,0.84%,42.11%,00:00:36,00:01:28,2.78
2020-04-16,15,2838,8853,0.53%,0.0%,00:00:35,00:01:34,3.12
2020-04-15,14,2962,9516,0.47%,28.57%,00:00:33,00:01:31,3.21
2020-04-14,10,3023,9452,0.33%,20.0%,00:00:33,00:01:27,3.13
2020-04-13,11,4296,14377,0.26%,36.36%,00:00:30,00:01:21,3.35
2020-04-12,10,1845,4616,0.54%,30.0%,00:00:40,00:01:27,2.5
2020-04-11,13,1542,4138,0.84%,7.69%,00:00:41,00:01:39,2.68
2020-04-10,18,1949,5109,0.92%,11.11%,00:00:37,00:01:23,2.62
2020-04-09,11,2713,8096,0.41%,27.27%,00:00:28,00:01:12,2.98
2020-04-08,5,2683,7651,0.19%,20.0%,00:00:28,00:01:07,2.85
2020-04-07,15,3007,8895,0.5%,20.0%,00:00:29,00:01:12,2.96
2020-04-06,17,2213,5303,0.77%,35.29%,00:00:30,00:01:03,2.4
2020-04-05,7,1591,3628,0.44%,14.29%,00:00:37,00:01:16,2.28
2020-04-04,17,1477,3345,1.15%,23.53%,00:00:29,00:00:58,2.26
2020-04-03,10,2107,5145,0.47%,20.0%,00:00:31,00:01:06,2.44
2020-04-02,6,2515,6994,0.24%,33.33%,00:00:27,00:01:03,2.78
2020-04-01,12,2771,8300,0.43%,41.67%,00:00:30,00:01:16,3.0
2020-03-31,14,2885,8567,0.49%,7.14%,00:00:28,00:01:10,2.97
2020-03-30,17,2789,8649,0.61%,23.53%,00:00:27,00:01:09,3.1
2020-03-29,17,1551,3644,1.1%,23.53%,00:00:36,00:01:13,2.35
2020-03-28,10,1191,2761,0.84%,0.0%,00:00:38,00:01:19,2.32
2020-03-27,6,1675,4109,0.36%,0.0%,00:00:30,00:01:05,2.45
2020-03-26,17,2723,8069,0.62%,23.53%,00:00:29,00:01:14,2.96
2020-03-25,9,2930,9233,0.31%,44.44%,00:00:27,00:01:12,3.15
2020-03-24,14,3049,9360,0.46%,14.29%,00:00:26,00:01:06,3.07
2020-03-23,9,2987,9391,0.3%,22.22%,00:00:28,00:01:14,3.14
2020-03-22,12,1837,4323,0.65%,33.33%,00:00:30,00:01:01,2.35
2020-03-21,9,1341,3214,0.67%,33.33%,00:00:35,00:01:14,2.4
2020-03-20,9,1796,4523,0.5%,33.33%,00:00:29,00:01:05,2.52
2020-03-19,12,2745,7951,0.44%,16.67%,00:00:28,00:01:10,2.9
2020-03-18,10,3224,10456,0.31%,20.0%,00:00:25,00:01:06,3.24
2020-03-17,12,3347,11035,0.36%,33.33%,00:00:29,00:01:21,3.3
2020-03-16,11,3185,9987,0.35%,54.55%,00:00:27,00:01:11,3.14
2020-03-15,6,1719,3982,0.35%,16.67%,00:00:38,00:01:18,2.32
2020-03-14,6,1269,2915,0.47%,50.0%,00:00:34,00:01:09,2.3
2020-03-13,9,2043,5156,0.44%,44.44%,00:00:31,00:01:09,2.52
2020-03-12,8,3324,10663,0.24%,37.5%,00:00:26,00:01:10,3.21
2020-03-11,16,3867,13670,0.41%,18.75%,00:00:28,00:01:20,3.54
2020-03-10,15,4042,14611,0.37%,33.33%,00:00:25,00:01:16,3.61
2020-03-09,24,3919,13444,0.61%,45.83%,00:00:28,00:01:19,3.43
2020-03-08,10,2320,6063,0.43%,40.0%,00:00:33,00:01:15,2.61
2020-03-07,7,1573,4004,0.45%,42.86%,00:00:30,00:01:06,2.55
2020-03-06,12,2686,7533,0.45%,16.67%,00:00:29,00:01:11,2.8
2020-03-05,18,4160,15057,0.43%,38.89%,00:00:28,00:01:24,3.62
2020-03-04,11,4809,20013,0.23%,18.18%,00:00:26,00:01:30,4.16
2020-03-03,13,5118,22341,0.25%,46.15%,00:00:27,00:01:39,4.37
2020-03-02,23,5188,22404,0.44%,43.48%,00:00:29,00:01:44,4.32
2020-03-01,20,3558,11897,0.56%,50.0%,00:00:34,00:01:39,3.34
2020-02-29,22,2451,7722,0.9%,22.73%,00:00:34,00:01:34,3.15
2020-02-28,20,4063,15874,0.49%,25.0%,00:00:28,00:01:37,3.91
2020-02-27,28,5928,33732,0.47%,35.71%,00:00:28,00:02:14,5.69
2020-02-26,44,6322,38299,0.7%,50.0%,00:00:29,00:02:27,6.06
2020-02-25,36,6531,43757,0.55%,66.67%,00:00:30,00:02:45,6.7
2020-02-24,74,7182,55940,1.03%,54.05%,00:00:33,00:03:32,7.79
2020-02-23,80,6219,36216,1.29%,57.5%,00:00:35,00:02:55,5.82
2020-02-22,48,3251,11193,1.48%,41.67%,00:00:35,00:01:45,3.44
2020-02-21,35,3643,14100,0.96%,28.57%,00:00:35,00:01:58,3.87
2020-02-20,54,4343,19535,1.24%,29.63%,00:00:37,00:02:24,4.5
2020-02-19,48,3561,13796,1.35%,20.83%,00:00:29,00:01:39,3.87
2020-02-18,56,3678,14516,1.52%,35.71%,00:00:28,00:01:37,3.95
2020-02-17,61,4119,25898,1.48%,32.79%,00:00:21,00:01:53,6.29
2020-02-16,43,2781,11485,1.55%,37.21%,00:00:27,00:01:39,4.13
2020-02-15,41,2217,6929,1.85%,17.07%,00:00:35,00:01:37,3.13
2020-02-14,61,4424,13416,1.38%,29.51%,00:00:33,00:01:30,3.03
2020-02-13,60,2478,7224,2.42%,20.0%,00:00:32,00:01:23,2.92
2020-02-12,19,1449,3659,1.31%,21.05%,00:00:31,00:01:11,2.53
2020-02-11,23,1508,4229,1.53%,21.74%,00:00:34,00:01:26,2.8
2020-02-10,11,1492,3967,0.74%,18.18%,00:00:28,00:01:06,2.66
2020-02-09,6,968,2401,0.62%,50.0%,00:00:26,00:00:59,2.48
2020-02-08,8,1087,2505,0.74%,37.5%,00:00:27,00:00:56,2.3
2020-02-07,7,2113,5357,0.33%,14.29%,00:00:25,00:00:51,2.54
2020-02-06,7,1011,2662,0.69%,42.86%,00:00:28,00:01:06,2.63
2020-02-05,23,1147,2994,2.01%,13.04%,00:00:28,00:01:04,2.61
2020-02-04,6,1072,2730,0.56%,0.0%,00:00:31,00:01:11,2.55
2020-02-03,10,1144,2785,0.87%,10.0%,00:00:33,00:01:12,2.43
2020-02-02,7,1097,2671,0.64%,57.14%,00:00:30,00:01:06,2.43
2020-02-01,5,1272,3354,0.39%,0.0%,00:00:32,00:01:14,2.64
2020-01-31,6,1464,3732,0.41%,33.33%,00:00:29,00:01:07,2.55
2020-01-30,9,1486,3959,0.61%,11.11%,00:00:30,00:01:10,2.66
2020-01-29,7,1623,4279,0.43%,28.57%,00:00:25,00:01:01,2.64
2020-01-28,7,1763,4941,0.4%,28.57%,00:00:27,00:01:08,2.8
2020-01-27,9,2005,5561,0.45%,22.22%,00:00:25,00:01:02,2.77
2020-01-26,13,2322,7312,0.56%,0.0%,00:00:25,00:01:11,3.15
2020-01-25,13,2646,9551,0.49%,30.77%,00:00:23,00:01:17,3.61
2020-01-24,19,3319,13507,0.57%,31.58%,00:00:24,00:01:29,4.07
2020-01-23,23,4406,24901,0.52%,21.74%,00:00:25,00:02:09,5.65
2020-01-22,29,5143,29004,0.56%,58.62%,00:00:24,00:02:03,5.64
2020-01-21,29,5620,35334,0.52%,58.62%,00:00:25,00:02:19,6.29
2020-01-20,44,5924,38958,0.74%,59.09%,00:00:24,00:02:23,6.58
2020-01-19,47,6266,47273,0.75%,65.96%,00:00:25,00:02:51,7.54
2020-01-18,41,6324,50612,0.65%,58.54%,00:00:24,00:02:53,8.0
2020-01-17,47,6666,56633,0.71%,63.83%,00:00:23,00:02:52,8.5
2020-01-16,44,6584,55728,0.67%,56.82%,00:00:22,00:02:43,8.46
2020-01-15,31,6614,55670,0.47%,51.61%,00:00:21,00:02:31,8.42
2020-01-14,19,6522,50158,0.29%,26.32%,00:00:20,00:02:11,7.69
2020-01-13,19,6634,53670,0.29%,47.37%,00:00:19,00:02:11,8.09
2020-01-12,18,6475,47248,0.28%,55.56%,00:00:21,00:02:10,7.3
2020-01-11,11,6279,40730,0.18%,45.45%,00:00:21,00:01:54,6.49
2020-01-10,18,5994,35975,0.3%,44.44%,00:00:22,00:01:51,6.0
2020-01-09,14,5919,33342,0.24%,57.14%,00:00:23,00:01:51,5.63
2020-01-08,21,5825,28706,0.36%,42.86%,00:00:24,00:01:41,4.93
2020-01-07,19,6192,32052,0.31%,47.37%,00:00:26,00:01:51,5.18
2020-01-06,16,6494,34958,0.25%,37.5%,00:00:26,00:01:56,5.38
2020-01-05,23,5850,25055,0.39%,39.13%,00:00:27,00:01:40,4.28
2020-01-04,27,4612,19203,0.59%,51.85%,00:00:28,00:01:40,4.16
2020-01-03,27,5240,23158,0.52%,25.93%,00:00:27,00:01:43,4.42
2020-01-02,30,5980,31019,0.5%,40.0%,00:00:26,00:01:53,5.19
2020-01-01,21,4441,16156,0.47%,38.1%,00:00:28,00:01:29,3.64
