日期,新增用户,活跃用户,启动次数,新用户占比,次日留存率,平均单次使用时长,平均日使用时长,平均日启动次数
2020-07-01,17,4788,33163,0.36%,47.06%,00:00:23,00:02:22,6.93
2020-06-30,24,4774,31194,0.5%,25.0%,00:00:24,00:02:23,6.53
2020-06-29,21,4924,32760,0.43%,61.9%,00:00:23,00:02:17,6.65
2020-06-28,16,4618,28256,0.35%,43.75%,00:00:24,00:02:12,6.12
2020-06-27,17,4234,24834,0.4%,41.18%,00:00:23,00:01:59,5.87
2020-06-26,15,4033,21744,0.37%,46.67%,00:00:23,00:01:49,5.39
2020-06-25,16,3674,16924,0.44%,37.5%,00:00:25,00:01:43,4.61
2020-06-24,10,3820,17962,0.26%,40.0%,00:00:27,00:01:52,4.7
2020-06-23,12,3759,16139,0.32%,41.67%,00:00:28,00:01:48,4.29
2020-06-22,12,3460,13465,0.35%,50.0%,00:00:31,00:01:47,3.89
2020-06-21,12,2822,9067,0.43%,25.0%,00:00:32,00:01:32,3.21
2020-06-20,11,2686,9214,0.41%,54.55%,00:00:32,00:01:36,3.43
2020-06-19,19,2734,8734,0.69%,31.58%,00:00:31,00:01:30,3.19
2020-06-18,9,2920,9515,0.31%,22.22%,00:00:32,00:01:35,3.26
2020-06-17,19,3265,11073,0.58%,26.32%,00:00:38,00:01:53,3.39
2020-06-16,19,4031,15120,0.47%,31.58%,00:00:35,00:01:55,3.75
2020-06-15,17,3947,13772,0.43%,41.18%,00:00:38,00:01:56,3.49
2020-06-14,14,3566,12020,0.39%,42.86%,00:00:42,00:02:04,3.37
2020-06-13,14,3859,17573,0.36%,42.86%,00:00:41,00:02:44,4.55
2020-06-12,21,3048,10097,0.69%,38.1%,00:00:38,00:01:50,3.31
2020-06-11,16,3789,13878,0.42%,18.75%,00:00:49,00:02:37,3.66
2020-06-10,18,3878,15011,0.46%,11.11%,00:00:45,00:02:30,3.87
2020-06-09,19,4899,26515,0.39%,31.58%,00:00:51,00:03:58,5.41
2020-06-08,13,3878,15879,0.34%,30.77%,00:00:36,00:02:09,4.09
2020-06-07,15,2165,6279,0.69%,46.67%,00:00:31,00:01:19,2.9
2020-06-06,13,2040,5965,0.64%,23.08%,00:00:32,00:01:22,2.92
2020-06-05,15,2725,8585,0.55%,26.67%,00:00:33,00:01:32,3.15
2020-06-04,9,3040,9337,0.3%,22.22%,00:00:30,00:01:21,3.07
