日期,新增用户,活跃用户,启动次数,累计用户,新用户占比,平均日使用时长,平均日启动次数
2021/2/23,24,2636,5344,110109,0.91%,--,--
2021/2/22,55,3731,8196,110085,1.47%,0:01:59,2.2
2021/2/21,48,3088,6716,110030,1.55%,0:01:43,2.17
2021/2/20,43,2773,5870,109982,1.55%,0:01:35,2.12
2021/2/19,30,2978,6402,109939,1.01%,0:01:41,2.15
2021/2/18,30,2783,5643,109909,1.08%,0:01:35,2.03
2021/2/17,12,2486,4883,109879,0.48%,0:01:27,1.96
2021/2/16,37,2436,4856,109867,1.52%,0:01:43,1.99
2021/2/15,28,2356,4572,109830,1.19%,0:01:10,1.94
2021/2/14,21,2481,4638,109802,0.85%,0:01:26,1.87
2021/2/13,24,2572,4973,109781,0.93%,0:01:13,1.93
2021/2/12,17,2840,5977,109757,0.60%,0:01:43,2.1
2021/2/11,16,3230,7221,109740,0.50%,0:01:27,2.24
2021/2/10,29,3755,8920,109724,0.77%,0:01:27,2.38
2021/2/9,32,4187,10513,109695,0.76%,0:01:48,2.51
2021/2/8,43,4701,12501,109663,0.91%,0:01:54,2.66
2021/2/7,39,5882,18547,109620,0.66%,0:02:09,3.15
2021/2/6,47,6432,20927,109581,0.73%,0:02:07,3.25
2021/2/5,54,7624,28961,109534,0.71%,0:02:37,3.8
2021/2/4,56,8659,37426,109480,0.65%,0:02:42,4.32
2021/2/3,60,9841,48777,109424,0.61%,0:03:39,4.96
2021/2/2,65,10616,59285,109364,0.61%,0:03:41,5.58
2021/2/1,79,11322,69390,109299,0.70%,0:03:53,6.13
2021/1/31,91,11488,71702,109220,0.79%,0:04:03,6.24
2021/1/30,78,12085,87217,109129,0.65%,0:04:49,7.22
2021/1/29,88,12428,93490,109051,0.71%,0:05:02,7.52
2021/1/28,72,12830,101656,108963,0.56%,0:04:59,7.92
2021/1/27,86,13084,104955,108891,0.66%,0:05:26,8.02
2021/1/26,65,13025,98224,108805,0.50%,0:04:54,7.54
2021/1/25,73,12941,101018,108740,0.56%,0:04:37,7.81
2021/1/24,104,13684,97591,108667,0.76%,0:04:26,7.13
2021/1/23,47,11754,66296,108563,0.40%,0:03:17,5.64
2021/1/22,61,11625,57638,108516,0.52%,0:03:00,4.96
2021/1/21,58,12186,60810,108455,0.48%,0:03:06,4.99
2021/1/20,85,12399,59681,108397,0.69%,0:03:16,4.81
2021/1/19,34,10938,33776,108312,0.31%,0:02:05,3.09
2021/1/18,46,10907,35811,108278,0.42%,0:02:30,3.28
2021/1/17,29,9110,24533,108232,0.32%,0:01:55,2.69
2021/1/16,43,10334,29071,108203,0.42%,0:02:21,2.81
2021/1/15,32,9482,26330,108160,0.34%,0:02:03,2.78
2021/1/14,31,9640,29433,108128,0.32%,0:02:19,3.05
2021/1/13,35,10022,32563,108097,0.35%,0:02:28,3.25
2021/1/12,34,9904,32688,108062,0.34%,0:02:45,3.3
2021/1/11,45,10449,37127,108028,0.43%,0:03:04,3.55
2021/1/10,37,7545,18705,107983,0.49%,0:02:14,2.48
2021/1/9,27,6369,15626,107946,0.42%,0:02:26,2.45
2021/1/8,30,8053,25741,107919,0.37%,0:02:52,3.2
2021/1/7,36,8964,28139,107889,0.40%,0:02:41,3.14
2021/1/6,40,9237,29521,107853,0.43%,0:02:57,3.2
2021/1/5,80,9841,34628,107813,0.81%,0:03:24,3.52
2021/1/4,57,10719,46223,107733,0.53%,0:03:34,4.31
2021/1/3,46,6430,14493,107676,0.72%,0:01:55,2.25
2021/1/2,56,4984,10418,107630,1.12%,0:01:33,2.09
2021/1/1,30,4703,9452,107574,0.64%,0:02:00,2.01
2020/12/31,13,5850,13081,107544,0.22%,0:01:50,2.24
2020/12/30,61,11529,66713,107531,0.53%,0:04:57,5.79
2020/12/29,40,9116,29689,107470,0.44%,0:02:24,3.26
2020/12/28,54,9482,33615,107430,0.57%,0:02:40,3.55
2020/12/27,31,6805,17463,107376,0.46%,0:02:26,2.57
2020/12/26,24,5806,14047,107345,0.41%,0:02:20,2.42
2020/12/25,46,8941,30359,107321,0.51%,0:03:25,3.4
2020/12/24,38,8506,28141,107275,0.45%,0:02:39,3.31
2020/12/23,49,9672,40389,107237,0.51%,0:03:16,4.18
2020/12/22,41,7779,24255,107188,0.53%,0:02:22,3.12
2020/12/21,52,8001,25404,107147,0.65%,0:02:22,3.18
2020/12/20,30,5304,12661,107095,0.57%,0:01:43,2.39
2020/12/19,16,4478,10350,107065,0.36%,0:02:07,2.31
2020/12/18,38,5675,14817,107049,0.67%,0:01:41,2.61
2020/12/17,46,7425,24375,107011,0.62%,0:02:33,3.28
2020/12/16,39,8063,27691,106965,0.48%,0:02:53,3.43
2020/12/15,46,8023,25023,106926,0.57%,0:02:03,3.12
2020/12/14,31,8156,25928,106880,0.38%,0:01:58,3.18
2020/12/13,36,5683,13295,106849,0.63%,0:01:37,2.34
2020/12/12,25,4249,8855,106813,0.59%,0:01:31,2.08
2020/12/11,29,6403,16508,106788,0.45%,0:01:24,2.58
2020/12/10,33,8244,25999,106759,0.40%,0:02:02,3.15
2020/12/9,46,8981,30300,106726,0.51%,0:02:11,3.37
2020/12/8,34,8708,29326,106680,0.39%,0:02:09,3.37
2020/12/7,53,9235,32001,106646,0.57%,0:02:13,3.47
2020/12/6,30,6036,14960,106593,0.50%,0:01:49,2.48
2020/12/5,31,4907,11035,106563,0.63%,0:01:33,2.25
2020/12/4,39,7385,20780,106532,0.53%,0:01:56,2.81
2020/12/3,42,9216,32305,106493,0.46%,0:02:09,3.51
2020/12/2,64,10346,40791,106451,0.62%,0:02:22,3.94
2020/12/1,74,10201,39765,106387,0.73%,0:02:39,3.9
2020/11/30,119,10938,45367,106313,1.09%,0:02:39,4.15
2020/11/29,120,8353,25154,106194,1.44%,0:02:15,3.01
2020/11/28,43,7863,22887,106074,0.55%,0:02:28,2.91
2020/11/27,59,9685,36790,106031,0.61%,0:02:48,3.8
2020/11/26,79,11753,58606,105972,0.67%,0:03:14,4.99
2020/11/25,85,12458,70656,105893,0.68%,0:03:54,5.67
2020/11/24,139,12538,70490,105808,1.11%,0:03:54,5.62
